planning_horizon,technology,parameter,value,unit,source,further description
all,solar,marginal_cost,0.01,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,onwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,offwind,marginal_cost,0.015,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,hydro,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,H2,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,electrolysis,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,fuel cell,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,battery inverter,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,home battery storage,marginal_cost,0,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,water tank charger,marginal_cost,0.03,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
all,central water pit charger,marginal_cost,0.025,EUR/MWh,Default value to prevent mathematical degeneracy in optimisation,
2030,methane pyrolysis plasma,investment,886.0,EUR/kW_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2035,methane pyrolysis plasma,investment,850.5,EUR/kW_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2040,methane pyrolysis plasma,investment,815.0,EUR/kW_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2045,methane pyrolysis plasma,investment,762.0,EUR/kW_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2050,methane pyrolysis plasma,investment,709.0,EUR/kW_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2030,methane pyrolysis plasma,FOM,3.0,%/year,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2035,methane pyrolysis plasma,FOM,3.0,%/year,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2040,methane pyrolysis plasma,FOM,3.0,%/year,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2045,methane pyrolysis plasma,FOM,3.0,%/year,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2050,methane pyrolysis plasma,FOM,3.0,%/year,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2030,methane pyrolysis plasma,VOM,4.25,EUR/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2035,methane pyrolysis plasma,VOM,4.04,EUR/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2040,methane pyrolysis plasma,VOM,3.83,EUR/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2045,methane pyrolysis plasma,VOM,3.64,EUR/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2050,methane pyrolysis plasma,VOM,3.45,EUR/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2030,methane pyrolysis plasma,lifetime,20.0,years,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2035,methane pyrolysis plasma,lifetime,22.5,years,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2040,methane pyrolysis plasma,lifetime,25.0,years,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2045,methane pyrolysis plasma,lifetime,25.0,years,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2050,methane pyrolysis plasma,lifetime,25.0,years,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2030,methane pyrolysis plasma,methane-input,1.6667,MWh_CH4/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (net: gross CH4 minus recycled per H2 output),
2035,methane pyrolysis plasma,methane-input,1.6813,MWh_CH4/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2040,methane pyrolysis plasma,methane-input,1.6957,MWh_CH4/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (net: gross CH4 minus recycled per H2 output),
2045,methane pyrolysis plasma,methane-input,1.7097,MWh_CH4/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2050,methane pyrolysis plasma,methane-input,1.7234,MWh_CH4/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (net: gross CH4 minus recycled per H2 output),
2030,methane pyrolysis plasma,electricity-input,0.3556,MWh_el/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2035,methane pyrolysis plasma,electricity-input,0.3297,MWh_el/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
2040,methane pyrolysis plasma,electricity-input,0.3043,MWh_el/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma,
2045,methane pyrolysis plasma,electricity-input,0.2796,MWh_el/MWh_H2,Danish Energy Agency Technology Data for Renewable Fuels (2024) sheet 104 Methane pyrolysis Plasma (linearly interpolated),
