,bus0,bus1,p_nom,p_nom_diameter,max_pressure_bar,build_year,diameter_mm,length,name,p_min_pu
gas pipeline DE2 -> AT342,DE2,AT342,1269,0,0,0,0,0,AGGM_pipeline01,0
gas pipeline AT342 -> CH,AT342,CH,265,0,0,0,0,0,AGGM_pipeline02,0
gas pipeline AT342 <-> AT341,AT342,AT341,575,0,0,1978,0,0,AGGM_pipeline04,-1
gas pipeline DE2 -> AT331,DE2,AT331,288,0,0,0,0,0,AGGM_pipeline05,0
gas pipeline DE2 -> AT335,DE2,AT335,1380,0,0,1988,0,0,AGGM_pipeline06,0
gas pipeline AT335 <-> AT322,AT335,AT322,575,0,0,2026,0,0,AGGM_pipeline07,-1
gas pipeline AT335 <-> AT332,AT335,AT332,1380,0,0,1988,0,0,AGGM_pipeline08,-1
gas pipeline AT332 -> AT334,AT332,AT334,288,0,0,1988,0,0,AGGM_pipeline09,0
gas pipeline DE2 -> AT323,DE2,AT323,260,0,0,1981,0,0,AGGM_pipeline10,0
gas pipeline AT323 <-> AT322,AT323,AT322,575,0,0,1992,0,0,AGGM_pipeline11,-1
gas pipeline AT315 -> AT323,AT315,AT323,2000,0,0,1975,0,0,AGGM_pipeline12,0
gas pipeline AT312 <-> AT311,AT312,AT311,288,0,0,0,0,0,AGGM_pipeline13,-1
gas pipeline DE2 -> AT311,DE2,AT311,4750,0,0,1999,0,0,AGGM_pipeline14,0
gas pipeline AT311 -> DE2,AT311,DE2,7274,0,0,1999,0,0,AGGM_pipeline15,0
gas pipeline AT311 -> AT313,AT311,AT313,4750,0,0,1999,0,0,AGGM_pipeline16,0
gas pipeline AT313 -> AT311,AT313,AT311,7274,0,0,1999,0,0,AGGM_pipeline17,0
gas pipeline AT315 -> AT311,AT315,AT311,1725,0,0,0,0,0,AGGM_pipeline18,0
gas pipeline AT315 -> AT311 (2),AT315,AT311,1725,0,0,0,0,0,AGGM_pipeline19,0
gas pipeline AT315 <-> AT312,AT315,AT312,575,0,0,0,0,0,AGGM_pipeline20,-1
gas pipeline AT315 <-> AT312 (2),AT315,AT312,1725,0,0,0,0,0,AGGM_pipeline21,-1
gas pipeline AT315 <-> AT314,AT315,AT314,6900,0,0,1995,0,0,AGGM_pipeline22,-1
gas pipeline AT315 <-> AT314 (2),AT315,AT314,288,0,0,0,0,0,AGGM_pipeline23,-1
gas pipeline AT314 <-> AT222,AT314,AT222,1150,0,0,1998,0,0,AGGM_pipeline24,-1
gas pipeline AT314 <-> AT121,AT314,AT121,6900,0,0,1995,0,0,AGGM_pipeline25,-1
gas pipeline AT121 <-> AT314,AT121,AT314,288,0,0,0,0,0,AGGM_pipeline26,-1
gas pipeline AT222 <-> AT223,AT222,AT223,1150,0,0,1985,0,0,AGGM_pipeline27,-1
gas pipeline AT223 <-> AT226,AT223,AT226,115,0,0,0,0,0,AGGM_pipeline28,-1
gas pipeline AT221 <-> AT223,AT221,AT223,4025,0,0,2011,0,0,AGGM_pipeline29,-1
gas pipeline AT221 <-> AT223 (2),AT221,AT223,575,0,0,1972,0,0,AGGM_pipeline30,-1
gas pipeline AT122 <-> AT223,AT122,AT223,5175,0,0,2011,0,0,AGGM_pipeline31,-1
