ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
6,7540,Güssing,B,,Biogas,500,1145042,3380742,3567468,2514775,1883177,3380392
39,7553,Bocksdorf,B,,Biogas,500,1475314,4277298,4223823,4295237,4249641,4031392
58,7535,Sankt Michael im Burgenland,B,,Biogas,250,646003,1971159,1908594,1694543,2143959,2095054
60,7501,Rotenturm an der Pinka,B,,Biogas,270,32543,100627,66176,19827,0,0
79,7350,Oberpullendorf,B,,Biogas,70,5026,16763,9909,1998,0,0
131,7544,Tobaj,B,,Biogas,250,607063,1923312,1840050,1808223,2161720,2149473
141,7374,Weingraben,B,,Biogas,250,620256,2181734,2095470,2172041,2264030,2170707
186,7423,Pinkafeld,B,,Biogas,500,0,471108,4230567,4222576,4147418,4370101
230,7025,Pöttelsdorf,B,,Biogas,250,719112,2169696,2184809,3014809,2969383,2948040
232,7411,Markt Allhau,B,,Biogas,500,866822,4251173,4289989,2918609,3574657,3450626
260,7412,Wolfau,B,,Biogas,500,862748,2207135,2299904,3187655,2448149,2156322
271,7051,Großhöflein,B,,Deponiegas,400,0,0,0,0,0,0
288,7471,Rechnitz,B,,Biogas,500,1494033,4405988,4666538,4855052,3999782,3972334
318,7431,Bad Tatzmannsdorf,B,,Biogas,400,86802,112323,109851,44687,0,0
324,7025,Pöttelsdorf,B,,Biogas,250,720305,2169050,2153442,2993748,2966370,2894431
332,7372,Draßmarkt,B,,Biogas,105,0,0,0,0,0,0
337,7341,Markt Sankt Martin,B,,Biogas,1.7,401,2437,2440,268404,0,0
340,7025,Pöttelsdorf,B,,Biogas,250,712044,2154020,2144871,2151945,2168475,2109396
372,2474,Gattendorf,B,,Biogas,12,0,0,0,0,0,0
398,7423,Pinkafeld,B,,Biogas,500,0,281267,4067741,3781595,4126148,4202370
402,7522,Strem,B,,Biogas,500,1278904,3454365,3050981,3526074,2681123,3310719
411,7544,Tobaj,B,,Biogas,500,790580,2302559,2769722,3699893,2780388,1924917
414,7025,Pöttelsdorf,B,,Biogas,30,0,0,0,0,0,0
439,2473,Deutsch-Haslau,B,,Biogas,500,0,0,0,0,0,0
447,7302,Kroatisch Minihof,B,,Biogas,19.76,825,5637,5810,67,0,0
476,7561,Heiligenkreuz im Lafnitztal,B,,Biogas,1000,1708790,6754286,6681320,7424280,7680242,8220329
480,7042,Antau,B,,Biogas,45,26,1638,4373,6604,9296,33287
524,7561,Heiligenkreuz im Lafnitztal,B,,Biogas,195,2942,1234,0,0,0,0
542,7441,Pilgersdorf,B,,Biogas,500,1466592,4423662,4451967,4599407,4625023,4358117
8,9811,Lendorf,K,,Biogas,22,1486,4336,5760,1029,13187,29486
12,9800,Baldramsdorf,K,,Deponiegas,40,9018,31580,45721,30909,24921,16540
29,9113,Ruden,K,,Biogas,18.5,5417,22295,15958,34851,20647,31853
31,9065,Ebenthal in Kärnten,K,,Biogas,250,0,0,0,0,0,0
49,9100,Völkermarkt,K,,Biogas,30,10210,59826,120776,179491,8855,22777
77,9500,Villach,K,,Klärgas,530,0,0,0,0,0,67620
87,9150,Bleiburg,K,,Biogas,317,435972,1278623,1278227,1218180,1411760,1290289
98,9546,Bad Kleinkirchheim,K,,Biogas,30,0,0,0,0,0,0
111,9102,Völkermarkt,K,,Biogas,100,289343,851672,846834,862094,866867,862028
159,9150,Bleiburg,K,,Biogas,150,484730,1582166,1648655,1769337,1499580,1253276
163,9100,Völkermarkt,K,,Biogas,30,0,0,0,0,0,0
170,9560,Feldkirchen in Kärnten,K,,Klärgas,196,16458,50961,30494,22612,33655,35458
