ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW),Eingespeistes Gas (kWh) 2026,Eingespeistes Gas (kWh) 2025,Eingespeistes Gas (kWh) 2024,Eingespeistes Gas (kWh) 2023,Eingespeistes Gas (kWh) 2022,Eingespeistes Gas (kWh) 2021
0,7411,Markt Allhau,B,Erneuerbare Gase,,5000,0,0,0,0,0,0
1,8410,Wildon,ST,Erneuerbare Gase,,1700,2851881,3118181,0,0,0,0
2,6262,Schlitters,T,Erneuerbare Gase,,780,921188,3175191,2992659,2647629,2830621,0
3,6890,Lustenau,V,Erneuerbare Gase,,5000,0,0,0,8711157,9445873,0
4,2433,Margarethen am Moos,NO,Erneuerbare Gase,,7150,12843700,54910000,47634896,37232603,37456064,0
5,4702,Wallern an der Trattnach,OO,Erneuerbare Gase,,2220,3585050,7730192,0,0,0,0
6,4851,Gampern,OO,Erneuerbare Gase,,290,90444,693658,306762,111645,0,0
7,8472,Straß in der Steiermark,ST,Erneuerbare Gase,,1417,467632,2245690,1164327,0,0,0
8,1110,Wien,W,Erneuerbare Gase,,3000,1798752,3892711,740455,0,0,0
9,2700,Wiener Neustadt,NO,Erneuerbare Gase,,1100,0,0,149690,1530250,776309,0
10,5301,Eugendorf,S,Erneuerbare Gase,,950,1890878,8386214,6995119,7060867,6802214,0
11,5204,Straßwalchen,S,Erneuerbare Gase,,770,1364831,5748197,5602240,5632630,4932076,0
12,3361,Aschbach,NO,Erneuerbare Gase,,2982,3308800,12238300,0,0,0,0
13,6261,Strass im Zillertal,T,Erneuerbare Gase,,560,37051,857352,1425136,557823,127195,0
14,6176,Völs,T,Erneuerbare Gase,,3400,0,0,0,0,0,0
15,7111,Parndorf,B,Erneuerbare Gase,,5000,6194418,5991893,0,0,0,0
16,8074,Raaba-Grambach,ST,Erneuerbare Gase,,3150,1309882,0,0,0,0,0
17,4209,Engerwitzdorf,OO,Erneuerbare Gase,,1790,761890,10801206,10195556,12594849,9158309,0
18,2493,Lichtenwörth,NO,Erneuerbare Gase,,1680,1345700,4648567,0,0,0,0
19,2460,Bruck an der Leitha,NO,Erneuerbare Gase,,5400,5940400,26335475,29956200,30189300,35188560,0
20,1110,Wien,W,Erneuerbare Gase,,4271,359671,1443594,2092846,2995287,4613661,0
21,6820,Frastanz,V,Erneuerbare Gase,,2900,0,13178305,9404460,12899276,9171159,0
22,5700,Zell am See,S,Erneuerbare Gase,,1680,285235,1248630,1140013,814750,701245,0
23,6426,Roppen,T,Erneuerbare Gase,,789,771098,1632675,707,1181,389463,0
24,2320,Schwechat,NO,Erneuerbare Gase,,10000,0,0,0,0,0,0
