name,ppm_name,action,technology,capacity_mw_net,capacity_mw_gross,capacity_basis,date_in,date_out,bus,set,autoproducer,source,evidence,rejected_alternatives
GDK Mellach,Mellach,update,CCGT,832.0,832.0,Nennleistung elektrisch,2012,,,CHP,false,https://de.wikipedia.org/wiki/Liste_von_Kraftwerken_in_%C3%96sterreich | E-Control Anlagenregister (anlagenregister dataset in data/versions.csv),"Wikipedia: Gas- und Dampfkraftwerk Mellach, 832 MWel, Erdgas, Fertigstellung 2012, VERBUND Thermal Power. Register ST-32020 at PLZ 8410 = 832.000 MW with 6411.0 GWh feed-in 2021-2026.",ppm 0.8.1 gives 1084 MW for the whole site = 838 (GDK) + 246 (FHKW at its coal-era rating)
FHKW Mellach,,add,CCGT,165.0,246.0,net capability on natural gas; gross is the coal-era rating,1986,,AT225,CHP,false,https://de.wikipedia.org/wiki/Fernheizkraftwerk_Mellach | https://de.wikipedia.org/wiki/Liste_von_Kraftwerken_in_%C3%96sterreich,"Coal operation ceased 31 March 2020 (last coal power in Austria); the plant is held for gas-fired grid support and can run on natural gas with 165 MW net electrical output. Wikipedia list rates it 246 MWel (coal era), 1986, VERBUND.","246 MW (coal-era rating, Wikipedia list); 225 MW (Wikipedia article infobox)"
Theiss Block B,Theiss,update,CCGT,485.0,485.0,Nennleistung elektrisch,2000,,,CHP,false,https://de.wikipedia.org/wiki/Kraftwerk_Thei%C3%9F,"Wikipedia unit table: Block B (Kombi/GuD) 485 MW, Erdgas. Capacity matches ppm 0.8.1 exactly.","DateIn: Wikipedia gives 1976 for Block B; ppm/GEM give 2000. SOURCES DISAGREE - 2000 kept as the combined-cycle conversion year, which is the vintage that represents the asset in service."
Theiss GT C,,add,OCGT,70.0,70.0,Nennleistung elektrisch,2000,,AT124,PP,false,https://de.wikipedia.org/wiki/Kraftwerk_Thei%C3%9F,"Wikipedia unit table: Gasturbine C (Reserve) 70 MW, Erdgas, ca. 2000. Missing from ppm 0.8.1.",
Theiss GT D,,add,OCGT,70.0,70.0,Nennleistung elektrisch,2000,,AT124,PP,false,https://de.wikipedia.org/wiki/Kraftwerk_Thei%C3%9F,"Wikipedia unit table: Gasturbine D (Reserve) 70 MW, Erdgas, ca. 2000. Missing from ppm 0.8.1.",
Theiss GT E,,add,OCGT,240.0,240.0,Nennleistung elektrisch,2020,,AT124,PP,false,https://de.wikipedia.org/wiki/Kraftwerk_Thei%C3%9F,"Wikipedia: third gas turbine added 2020 with eine Nennleistung von 240 MW, a used turbine from Norway. Missing from ppm 0.8.1.",
Linz Mitte 1a,Linz Mitte,update,CCGT,103.0,103.0,Nennleistung elektrisch,2004,,,CHP,false,https://www.gem.wiki/Linz_Mitte_power_station | https://de.wikipedia.org/wiki/Fernheizkraftwerk_Linz-Mitte,"GEM unit table: unit 1a, 103 MW, combined cycle, CHP, start year 2004. 103+114 = 217 MW = ppm 0.8.1 site total, so this is a pure split with no capacity change.","105 MW (Wikipedia). DateIn: ppm gives 1970, which is the year the site began operating, not the year this unit was built."
Linz Mitte 1b,,add,CCGT,114.0,114.0,Nennleistung elektrisch,2010,,AT312,CHP,false,https://www.gem.wiki/Linz_Mitte_power_station | https://de.wikipedia.org/wiki/Fernheizkraftwerk_Linz-Mitte,"GEM unit table: unit 1b, 114 MW, combined cycle, CHP, start year 2010. Wikipedia gives the same 114 MW.",
Donaustadt,Donaustadt,update,CCGT,395.0,395.0,Nennleistung elektrisch,2001,,,CHP,false,https://de.wikipedia.org/wiki/Kraftwerk_Donaustadt | E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (W-6253),"Block 3 is a Gas- und Dampf-Kombikraftwerk (gas turbine plus condensing extraction steam turbine on one shaft), about 58 percent electrical efficiency, natural gas, commissioned November 2001. ppm 0.8.1 labels it 'Steam Turbine', which add_existing_baseyear drops because it selects on Technology in (OCGT, CCGT) -- 395 MW, the most productive gas plant in Austria (register W-6253, 7348.8 GWh 2021-2026), was silently missing from the brownfield fleet. Capacity 395 MW is confirmed by ppm and the register independently.",383 MW (Wikipedia article infobox); 347 MW (Wikipedia list of Austrian power stations)
Kirchdorf an der Krems,,add,OCGT,13.2,13.2,register Engpassleistung,2013,,AT314,CHP,false,E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (OO-17680) | https://www.meinbezirk.at/kirchdorf/c-wirtschaft/energie-ag-eroeffnet-groesstes-blockheizkraftwerk-oesterreichs-in-kirchdorf_a618662,"Register OO-17680 at PLZ 4560 = 13.200 MW Erdgas with 156.0 GWh feed-in 2021-2026 (about 2000 full load hours). Energie AG Oberoesterreich Waerme replaced the turbines of the Kirchdorf heating plant with a gas BHKW, fully operational January 2013. Missing from ppm 0.8.1. Modelled as OCGT: a reciprocating gas engine is closer to the OCGT efficiency (0.405) than to CCGT (0.57).",
Leopoldau,Leopoldau,update,,,,,,2012,,,,https://de.wikipedia.org/wiki/Kraftwerk_Leopoldau | E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (W-17243),Wikipedia: after conversion to combined cycle the plant delivered 140 MW until about 2012; today only hot water boilers for district heating remain in operation. Register W-17243 = 140.000 MW Erdgas with zero feed-in in all six published years (2021-2026).,"ppm 0.8.1 carries no DateOut, so the unit would otherwise stay in the fleet to its cost-data lifetime."
Steyrermuhl Paper Mill,Steyrermuhl Paper Mill,drop,,,,,,,,,,E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (OO-113370),"The register holds exactly one plant of this size in the Laakirchen/Steyrermuehl area: OO-113370 at PLZ 4663, 61.000 MW, 80.8 GWh 2021-2026, which is ppm's Laakirchen Paper Mill (60 MW). ppm's separate 40 MW Steyrermuhl row has no register counterpart and no DateIn, so add_existing_baseyear would invent a vintage for it from the Natural Gas group mean.",Keeping it and filling DateIn with the April 1994 commissioning of the Steyrermuehl mill CHP; rejected because the capacity itself is not corroborated.
Werk Linz,Werk Linz,drop,,,,,,,,,,E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (OO-106924) | https://de.wikipedia.org/wiki/Liste_von_Kraftwerken_in_%C3%96sterreich,"The voestalpine Linz works power plant burns Gichtgas and Kokereigas, not natural gas: Wikipedia rates Kraftwerk voestalpine Linz at 267 MW on Gichtgas/Kokereigas, and the register books it as OO-106924, 210.100 MW 'Fossil - Oil - gas/diesel' with 1364.9 GWh. E-Control accounts its output under Derivate, not under Erdgas, so it must not be calibrated against the Erdgas Bestandsstatistik.",Keeping it and excluding it from the calibration only; rejected because it would put 153 MW of blast-furnace-gas capacity on the natural gas bus.
Gratkorn Mill,Gratkorn Mill,update,,,,,,,,,true,E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (ST-62507),"Sappi Gratkorn paper mill CHP. Register ST-62507 at PLZ 8101 = 140.000 MW Erdgas with 333.4 GWh 2021-2026; the 140 MW is the site registration repeated per fuel, ppm rates the gas unit 70 MW. Kept in the fleet because it supplies the public grid, tagged autoproducer because its primary purpose is on-site process energy.",
Laakirchen Paper Mill,Laakirchen Paper Mill,update,,,,,,,,,true,E-Control Anlagenregister (anlagenregister dataset in data/versions.csv) (OO-113370),"Laakirchen paper mill CHP, register OO-113370 at PLZ 4663 = 61.000 MW with 80.8 GWh 2021-2026. Kept in the fleet, tagged autoproducer.",
