Name,bus,capacity_mw,technology_old,technology_new,group,note,capacity_new,bus_new,lat_new,lon_new
Altenworth,AT126,328.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Altenwoerth,,,,
Greifenstein,AT126,293.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Greifenstein,,,,
Aschach,AT313,287.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Aschach,,,,
Ybbs Persenbeug,AT121,237.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Ybbs-Persenbeug,,,,
Wallsee Mitterkirchen,AT313,210.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Wallsee-Mitterkirchen,,,,
Melk,AT121,187.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Melk,,,,
Ottensheim Wilhering,AT312,179.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Ottensheim-Wilhering,,,,
Freudenau,AT130,172.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Freudenau,,,,
Abwinden Asten,AT313,168.0,Reservoir,Run-Of-River,Danube,VERBUND Laufkraftwerk Abwinden-Asten,,,,
Lavamuend,AT213,56.0,Reservoir,Run-Of-River,Drau,VERBUND Draukraftwerk Lavamuend,,,,
Villach,AT211,50.0,Reservoir,Run-Of-River,Drau,VERBUND Draukraftwerk Villach,,,,
Kellerberg Kellersberg,AT211,50.0,Reservoir,Run-Of-River,Drau,VERBUND Draukraftwerk Kellerberg,,,,
Paternion,AT211,48.0,Reservoir,Run-Of-River,Drau,VERBUND Draukraftwerk Paternion,,,,
Langkampfen,AT335,32.0,Reservoir,Run-Of-River,Inn,Innkraftwerk Langkampfen,,,,
Kirchbichl,AT335,16.0,Reservoir,Run-Of-River,Inn,"TIWAG Innkraftwerk Kirchbichl (run-of-river Schlingenkraftwerk): 19.3 MW before the 2017-2020 expansion, 37.9 MW bottleneck capacity incl. the 0.75 MW Dotierkraftwerk since the fourth Kaplan unit went online in October 2020 (https://www.tiwag.at/unternehmen/unsere-kraftwerke/kraftwerk/kraftwerk-kirchbichl/; https://de.wikipedia.org/wiki/Kraftwerk_Kirchbichl); powerplantmatching carries the pre-expansion 16 MW as Reservoir",37.9,,,
Pernegg,AT223,48.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Pernegg,,,,
Fisching,AT226,43.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Fisching,,,,
Lebring,AT225,40.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Lebring,,,,
Laufnitzdorf,AT221,34.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Laufnitzdorf,,,,
Gralla,AT225,29.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Gralla,,,,
Rabenstein,AT221,28.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Rabenstein,,,,
Gabersdorf,AT225,28.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Gabersdorf,,,,
Peggau,AT221,26.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Peggau,,,,
Spielfeld,AT225,26.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Spielfeld,,,,
Friesach,AT221,26.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Friesach,,,,
Leoben,AT223,20.0,Reservoir,Run-Of-River,Mur,Murkraftwerk Leoben,,,,
St Veit St Veit,AT322,32.0,Reservoir,Run-Of-River,Salzach,VERBUND Laufkraftwerk St. Veit (real capacity 17 MW),17.0,,,
Wallnerau Salzachstufe Wallnerau Salzach,AT322,28.0,Reservoir,Run-Of-River,Salzach,VERBUND Laufkraftwerk Wallnerau-Salzachstufe,,,,
Walgauwerk,AT341,86.0,Reservoir,Run-Of-River,Ill,illwerke vkw Walgauwerk; diversion run-of-river using Rodund outflow (356 GWh/a),,,,
Enzingerboden,AT322,81.0,Run-Of-River,Reservoir,Stubachtal,OeBB Kraftwerk Enzingerboden fed from Tauernmoossee reservoir,,,,
St Pantaleon,AT311,52.0,Run-Of-River,Run-Of-River,Enns,"Ennskraftwerk St. Pantaleon (1965) on the lower Enns near its Danube mouth (St. Pantaleon-Erla, NOe); powerplantmatching geocoded the same-named village on the Salzach in Bezirk Braunau (48.0076 N 12.8942 E) which lands the plant in AT311 on a river section without any plant; relocated to the Enns (approximate coordinates inside KLIEN section 51200) ; coordinates from https://de.wikipedia.org/wiki/Laufkraftwerk_St._Pantaleon",,AT121,48.2249,14.5308
Bockstein,AT323,44.5,Reservoir,Reservoir,Gasteiner Ache,"Salzburg AG Kraftwerk Boeckstein (Nassfelder Ache, Bad Gastein); powerplantmatching geocoded the operator address in Salzburg city (AT323); relocated to Boeckstein in the Pongau (approximate coordinates inside KLIEN section 40406)",,AT322,47.0825,13.117
Kaprun Haupstufe,AT322,260.0,Reservoir,Reservoir,Kapruner Ache,Verbund Kaprun Hauptstufe: 220 MW turbine capacity without pumps (https://de.wikipedia.org/wiki/Kraftwerksgruppe_Kaprun); ppm nameplate 260 MW; KLIEN section 40303 C_current 261 MW equals the Hauptstufe only,220.0,,,
Kaprun Limberg,AT322,740.0,Pumped Storage,Pumped Storage,Kapruner Ache,"ppm merges Limberg I (113 MW turbine and pump, 1955) and Limberg III (480 MW, September 2025) into one 740 MW entry; corrected to 593 MW (https://de.wikipedia.org/wiki/Kraftwerksgruppe_Kaprun); the second ppm entry Kaprun Limberg 480 MW is Limberg II (2011)",593.0,,,
Prutz,AT334,481.0,Reservoir,Reservoir,Inn/Faggenbach,TIWAG Kraftwerk Kaunertal at Prutz: 392 MW maximum capacity (https://www.tiwag.at/uploads/tx_bh/448/tiwag_unsere_kraftwerke_kaunertal_kraftwerksbroschuere_webansicht_rz.pdf); ppm nameplate 481 MW,392.0,,,
Reisseck,AT212,498.0,Pumped Storage,Pumped Storage,Moell,"Verbund Reisseck II (430 MW reversible, 2016) plus Reisseck II plus (45 MW, June 2025) = 475 MW (https://de.wikipedia.org/wiki/Kraftwerksgruppe_Rei%C3%9Feck-Kreuzeck); the old Reisseck-Kreuzeck storage plants at Kolbnitz (136 MW, no pumps) are added separately as a missing plant",475.0,,,
Ausserfragant,AT212,100.0,Reservoir,Reservoir,Moell,KELAG Kraftwerk Ausserfragant: three Pelton units with 96 MW (https://de.wikipedia.org/wiki/Kraftwerksgruppe_Fragant); ppm nameplate 100 MW,96.0,,,
Illwerke Vkw Rodundwerk,AT341,495.0,Reservoir,Reservoir,Ill,"ppm merges Rodundwerk I (198 MW turbine, 41 MW pump, 1943; https://www.illwerkevkw.at/rodundwerk-i) and Rodundwerk II (295 MW, 1976; https://www.illwerkevkw.at/rodundwerk-ii); the entry is reduced to Rodundwerk I and Rodundwerk II is added as a missing pumped-storage plant",198.0,,,
Illwerke Vkw Vermuntwerk,AT341,193.0,Reservoir,Reservoir,Ill,illwerke vkw Vermuntwerk: 170 MW turbine capacity (https://www.illwerkevkw.at/vermuntwerk); ppm nameplate 193 MW,170.0,,,
Landl,AT222,48.0,Reservoir,Run-Of-River,Enns,"Verbund Laufkraftwerk Landl on the Enns: run-of-river, 25 MW, 136 GWh/a, 1967 (https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/landl); ppm has it as a 48 MW reservoir; the E-Control Anlagenregister lists 24 MW at Grossreifling",25.0,,,
Weyer,AT312,37.0,Run-Of-River,Run-Of-River,Enns,"Ennskraftwerke Laufkraftwerk Weyer on the Enns at Weyer, 36.8 MW, 1969 (https://de.wikipedia.org/wiki/Ennskraftwerke_AG); ppm geocoded it near the Traun (48.15 N 14.12 E) in AT312; relocated to the Enns at Weyer in AT314 (approximate coordinates; one of the two units feeds the OeBB 16.7 Hz railway grid with 18 MW)",,AT314,47.86,14.66
Altenmarkt,AT225,26.0,Run-Of-River,Run-Of-River,Enns,"Verbund Laufkraftwerk Altenmarkt on the Enns at Altenmarkt bei St. Gallen, 26 MW, 150 GWh/a, 1960 (https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/altenmarkt); ppm geocoded a same-named village in southern Styria (AT225); relocated to the Enns (approximate coordinates)",,AT222,47.7225,14.644
Wald,AT323,23.5,Reservoir,Reservoir,Krimmler Ache,"Salzburg AG Speicherkraftwerk Wald: intake on the Krimmler Ache below the Krimml falls, daily storage at Oberkrimml, 4.6 km tunnel, powerhouse at Wald im Pinzgau with tailwater into the Salzach, 23.5 MW, 64 GWh/a, 1988 (https://www.salzburg-ag.at/ueber-die-salzburg-ag/unternehmen/erzeugung/erzeugungsanlagen/wasserkraftwerk-wald.html); powerplantmatching geocoded it to the operator address; the powerhouse coordinates (OSM centroid) fall into the KLIEN catchment 40100 Salzach up to Pegel Wald (C_current 29.5 MW = Wald 23.5 + Trattenbach 5.1), where the study books it",,AT322,47.244,12.2301
Krippau,AT222,60.0,Reservoir,Run-Of-River,Enns,"Verbund Laufkraftwerk Krippau on the Enns at Altenmarkt bei St. Gallen: run-of-river, 30 MW, 175 GWh/a, 1965 (https://www.verbund.com/de-at/ueber-verbund/kraftwerke/unsere-kraftwerke/krippau); ppm has it as a 60 MW reservoir",30.0,,,
