at10,C_2030_low_wocc,C_2030_low_mocc,C_2030_low_stcc,C_2030_medium_wocc,C_2030_medium_mocc,C_2030_medium_stcc,C_2030_high_wocc,C_2030_high_mocc,C_2030_high_stcc,C_2040_low_wocc,C_2040_low_mocc,C_2040_low_stcc,C_2040_medium_wocc,C_2040_medium_mocc,C_2040_medium_stcc,C_2040_high_wocc,C_2040_high_mocc,C_2040_high_stcc,C_technical_potential
AT11,0.0,527.6,527.6,527.6,631.53,631.53,631.53,772.23,772.23,772.23,844.47,844.47,844.47,1156.8,1156.8,1156.8,1749.6,1749.6,1749.6
AT12,0.0,2950.54,2950.54,2950.54,3605.24,3605.24,3605.24,4360.66,4360.66,4360.66,4626.02,4626.02,4626.02,6454.84,6454.84,6454.84,9523.25,9523.25,9523.25
AT13,0.0,1604.38,1604.38,1604.38,1893.33,1893.33,1893.33,2189.99,2189.99,2189.99,2541.62,2541.62,2541.62,3268.01,3268.01,3268.01,4848.96,4848.96,4848.96
AT21,0.0,1076.27,1076.27,1076.27,1248.14,1248.14,1248.14,1451.97,1451.97,1451.97,1698.32,1698.32,1698.32,2194.66,2194.66,2194.66,3188.2599999999998,3188.2599999999998,3188.2599999999998
AT22,0.0,2366.66,2366.66,2366.66,2800.65,2800.65,2800.65,3307.58,3307.58,3307.58,3682.45,3682.45,3682.45,4852.59,4852.59,4852.59,7200.34,7200.34,7200.34
AT31,0.0,2538.37,2538.37,2538.37,3063.97,3063.97,3063.97,3675.47,3675.47,3675.47,4011.11,4011.11,4011.11,5468.78,5468.78,5468.78,8011.54,8011.54,8011.54
AT32,0.0,699.6,699.6,699.6,851.01,851.01,851.01,1010.55,1010.55,1010.55,1104.54,1104.54,1104.54,1538.8500000000001,1538.8500000000001,1538.8500000000001,2240.25,2240.25,2240.25
AT33,0.0,808.6999999999999,808.6999999999999,808.6999999999999,966.32,966.32,966.32,1124.61,1124.61,1124.61,1304.17,1304.17,1304.17,1795.9,1795.9,1795.9,2565.1,2565.1,2565.1
AT333,0.0,71.12,71.12,71.12,83.21000000000001,83.21000000000001,83.21000000000001,94.86999999999999,94.86999999999999,94.86999999999999,112.28,112.28,112.28,150.2,150.2,150.2,209.3,209.3,209.3
AT34,0.0,343.71,343.71,343.71,420.18,420.18,420.18,512.35,512.35,512.35,552.95,552.95,552.95,773.8,773.8,773.8,1171.3799999999999,1171.3799999999999,1171.3799999999999
