at10,C_2030_low_wocc,C_2030_low_mocc,C_2030_low_stcc,C_2030_medium_wocc,C_2030_medium_mocc,C_2030_medium_stcc,C_2030_high_wocc,C_2030_high_mocc,C_2030_high_stcc,C_2040_low_wocc,C_2040_low_mocc,C_2040_low_stcc,C_2040_medium_wocc,C_2040_medium_mocc,C_2040_medium_stcc,C_2040_high_wocc,C_2040_high_mocc,C_2040_high_stcc,C_technical_potential
AT11,201.18,201.18,201.18,232.18,232.18,232.18,265.86,265.86,265.86,456.98,456.98,456.98,511.77000000000004,511.77000000000004,511.77000000000004,569.59,569.59,569.59,54939.520000000004
AT12,984.92,984.92,984.92,1135.4,1135.4,1135.4,1299.45,1299.45,1299.45,2239.49,2239.49,2239.49,2515.88,2515.88,2515.88,2809.46,2809.46,2809.46,258680.66999999998
AT13,81.61999999999999,81.61999999999999,81.61999999999999,88.84,88.84,88.84,96.47,96.47,96.47,177.0,177.0,177.0,202.18,202.18,202.18,229.73,229.73,229.73,6876.26
AT21,276.53999999999996,276.53999999999996,276.53999999999996,313.23,313.23,313.23,353.12,353.12,353.12,616.64,616.64,616.64,697.44,697.44,697.44,784.23,784.23,784.23,53407.469999999994
AT22,541.89,541.89,541.89,618.94,618.94,618.94,703.3599999999999,703.3599999999999,703.3599999999999,1193.5,1193.5,1193.5,1354.81,1354.81,1354.81,1528.69,1528.69,1528.69,109929.13
AT31,676.13,676.13,676.13,770.53,770.53,770.53,873.27,873.27,873.27,1535.6799999999998,1535.6799999999998,1535.6799999999998,1728.2199999999998,1728.2199999999998,1728.2199999999998,1933.4499999999998,1933.4499999999998,1933.4499999999998,154673.78
AT32,254.26,254.26,254.26,283.13,283.13,283.13,314.1,314.1,314.1,549.51,549.51,549.51,618.22,618.22,618.22,692.21,692.21,692.21,33244.520000000004
AT33,286.21999999999997,286.21999999999997,286.21999999999997,314.31,314.31,314.31,343.69,343.69,343.69,622.79,622.79,622.79,696.6899999999999,696.6899999999999,696.6899999999999,776.04,776.04,776.04,31847.91
AT333,33.78,33.78,33.78,37.68,37.68,37.68,41.92,41.92,41.92,74.46000000000001,74.46000000000001,74.46000000000001,84.06,84.06,84.06,94.61,94.61,94.61,4776.05
AT34,117.33000000000001,117.33000000000001,117.33000000000001,129.58,129.58,129.58,142.57,142.57,142.57,254.9,254.9,254.9,287.75,287.75,287.75,323.3,323.3,323.3,12850.279999999999
