nuts3,C_2030_low_wocc,C_2030_low_mocc,C_2030_low_stcc,C_2030_medium_wocc,C_2030_medium_mocc,C_2030_medium_stcc,C_2030_high_wocc,C_2030_high_mocc,C_2030_high_stcc,C_2040_low_wocc,C_2040_low_mocc,C_2040_low_stcc,C_2040_medium_wocc,C_2040_medium_mocc,C_2040_medium_stcc,C_2040_high_wocc,C_2040_high_mocc,C_2040_high_stcc,C_technical_potential
AT111,0.0,76.82000000000001,76.82000000000001,76.82000000000001,91.56,91.56,91.56,112.48,112.48,112.48,122.03999999999999,122.03999999999999,122.03999999999999,166.82,166.82,166.82,253.61,253.61,253.61
AT112,0.0,259.3,259.3,259.3,313.18,313.18,313.18,386.05,386.05,386.05,420.21999999999997,420.21999999999997,420.21999999999997,582.77,582.77,582.77,886.27,886.27,886.27
AT113,0.0,191.48,191.48,191.48,226.79,226.79,226.79,273.7,273.7,273.7,302.21,302.21,302.21,407.21,407.21,407.21,609.72,609.72,609.72
AT121,0.0,442.18,442.18,442.18,544.58,544.58,544.58,664.44,664.44,664.44,682.61,682.61,682.61,967.5600000000001,967.5600000000001,967.5600000000001,1423.79,1423.79,1423.79
AT122,0.0,381.40999999999997,381.40999999999997,381.40999999999997,464.51,464.51,464.51,565.58,565.58,565.58,596.06,596.06,596.06,830.58,830.58,830.58,1240.21,1240.21,1240.21
AT123,0.0,314.95,314.95,314.95,379.78000000000003,379.78000000000003,379.78000000000003,448.15,448.15,448.15,493.08,493.08,493.08,667.92,667.92,667.92,974.9499999999999,974.9499999999999,974.9499999999999
AT124,0.0,549.01,549.01,549.01,671.47,671.47,671.47,807.1,807.1,807.1,842.02,842.02,842.02,1175.98,1175.98,1175.98,1712.88,1712.88,1712.88
AT125,0.0,335.52,335.52,335.52,414.25,414.25,414.25,505.39,505.39,505.39,519.4300000000001,519.4300000000001,519.4300000000001,734.27,734.27,734.27,1087.31,1087.31,1087.31
AT126,0.0,496.38,496.38,496.38,611.28,611.28,611.28,745.9,745.9,745.9,802.06,802.06,802.06,1134.14,1134.14,1134.14,1692.01,1692.01,1692.01
AT127,0.0,431.09,431.09,431.09,519.37,519.37,519.37,624.1,624.1,624.1,690.76,690.76,690.76,944.39,944.39,944.39,1392.1000000000001,1392.1000000000001,1392.1000000000001
AT130,0.0,1604.38,1604.38,1604.38,1893.33,1893.33,1893.33,2189.99,2189.99,2189.99,2541.62,2541.62,2541.62,3268.01,3268.01,3268.01,4848.96,4848.96,4848.96
