nuts3,C_2030_low_wocc,C_2030_low_mocc,C_2030_low_stcc,C_2030_medium_wocc,C_2030_medium_mocc,C_2030_medium_stcc,C_2030_high_wocc,C_2030_high_mocc,C_2030_high_stcc,C_2040_low_wocc,C_2040_low_mocc,C_2040_low_stcc,C_2040_medium_wocc,C_2040_medium_mocc,C_2040_medium_stcc,C_2040_high_wocc,C_2040_high_mocc,C_2040_high_stcc,C_technical_potential
AT111,37.16,37.16,37.16,42.769999999999996,42.769999999999996,42.769999999999996,48.879999999999995,48.879999999999995,48.879999999999995,84.0,84.0,84.0,93.9,93.9,93.9,104.27000000000001,104.27000000000001,104.27000000000001,9937.619999999999
AT112,93.46000000000001,93.46000000000001,93.46000000000001,107.95,107.95,107.95,123.74000000000001,123.74000000000001,123.74000000000001,213.45,213.45,213.45,239.32,239.32,239.32,266.57,266.57,266.57,25752.16
AT113,70.56,70.56,70.56,81.46,81.46,81.46,93.24000000000001,93.24000000000001,93.24000000000001,159.53,159.53,159.53,178.55,178.55,178.55,198.75,198.75,198.75,19249.739999999998
AT121,150.62,150.62,150.62,175.64000000000001,175.64000000000001,175.64000000000001,203.33,203.33,203.33,345.87,345.87,345.87,393.47,393.47,393.47,444.78999999999996,444.78999999999996,444.78999999999996,41345.92
AT122,99.31,99.31,99.31,113.08,113.08,113.08,127.93,127.93,127.93,216.8,216.8,216.8,245.14,245.14,245.14,275.41,275.41,275.41,19290.09
AT123,77.67,77.67,77.67,88.88,88.88,88.88,101.05,101.05,101.05,176.26,176.26,176.26,198.76,198.76,198.76,222.78,222.78,222.78,18343.79
AT124,185.05,185.05,185.05,217.37,217.37,217.37,253.07,253.07,253.07,424.19000000000005,424.19000000000005,424.19000000000005,477.88,477.88,477.88,535.1,535.1,535.1,57654.86
AT125,163.72,163.72,163.72,190.13,190.13,190.13,218.8,218.8,218.8,380.01,380.01,380.01,423.56,423.56,423.56,469.0,469.0,469.0,50762.14
AT126,195.34,195.34,195.34,222.83999999999997,222.83999999999997,222.83999999999997,252.44,252.44,252.44,441.44,441.44,441.44,491.65,491.65,491.65,544.6,544.6,544.6,48101.079999999994
AT127,113.21000000000001,113.21000000000001,113.21000000000001,127.46,127.46,127.46,142.82999999999998,142.82999999999998,142.82999999999998,254.92000000000002,254.92000000000002,254.92000000000002,285.42,285.42,285.42,317.78,317.78,317.78,23182.79
