component,day_type,index,factor
hour_of_day,weekday,0,0.5455
hour_of_day,weekday,1,0.4959
hour_of_day,weekday,2,0.476
hour_of_day,weekday,3,0.476
hour_of_day,weekday,4,0.5455
hour_of_day,weekday,5,0.7934
hour_of_day,weekday,6,1.1405
hour_of_day,weekday,7,1.438
hour_of_day,weekday,8,1.3884
hour_of_day,weekday,9,1.1901
hour_of_day,weekday,10,1.0909
hour_of_day,weekday,11,1.0909
hour_of_day,weekday,12,1.1107
hour_of_day,weekday,13,1.1107
hour_of_day,weekday,14,1.1405
hour_of_day,weekday,15,1.2397
hour_of_day,weekday,16,1.3686
hour_of_day,weekday,17,1.4083
hour_of_day,weekday,18,1.3388
hour_of_day,weekday,19,1.1901
hour_of_day,weekday,20,1.0413
hour_of_day,weekday,21,0.9124
hour_of_day,weekday,22,0.7934
hour_of_day,weekday,23,0.6744
hour_of_day,saturday,0,0.6897
hour_of_day,saturday,1,0.6154
hour_of_day,saturday,2,0.5517
hour_of_day,saturday,3,0.5305
hour_of_day,saturday,4,0.5517
hour_of_day,saturday,5,0.6578
hour_of_day,saturday,6,0.8488
hour_of_day,saturday,7,1.008
hour_of_day,saturday,8,1.1141
hour_of_day,saturday,9,1.2202
hour_of_day,saturday,10,1.2732
hour_of_day,saturday,11,1.2732
hour_of_day,saturday,12,1.252
hour_of_day,saturday,13,1.2202
hour_of_day,saturday,14,1.2202
hour_of_day,saturday,15,1.252
hour_of_day,saturday,16,1.2732
hour_of_day,saturday,17,1.2944
hour_of_day,saturday,18,1.2732
hour_of_day,saturday,19,1.1883
hour_of_day,saturday,20,1.0822
hour_of_day,saturday,21,0.9761
hour_of_day,saturday,22,0.87
hour_of_day,saturday,23,0.7639
hour_of_day,sunday,0,0.5825
hour_of_day,sunday,1,0.5084
hour_of_day,sunday,2,0.466
hour_of_day,sunday,3,0.4448
hour_of_day,sunday,4,0.4448
hour_of_day,sunday,5,0.5084
hour_of_day,sunday,6,0.6355
hour_of_day,sunday,7,0.7944
hour_of_day,sunday,8,0.9532
hour_of_day,sunday,9,1.1121
hour_of_day,sunday,10,1.218
hour_of_day,sunday,11,1.2498
hour_of_day,sunday,12,1.2498
hour_of_day,sunday,13,1.2498
hour_of_day,sunday,14,1.271
hour_of_day,sunday,15,1.3239
hour_of_day,sunday,16,1.3769
hour_of_day,sunday,17,1.4298
hour_of_day,sunday,18,1.4616
hour_of_day,sunday,19,1.4298
hour_of_day,sunday,20,1.3239
hour_of_day,sunday,21,1.165
hour_of_day,sunday,22,1.0062
hour_of_day,sunday,23,0.7944
day_type,weekday,,1.0
day_type,saturday,,0.82
day_type,sunday,,0.72
month,,1,1.0951
month,,2,1.0852
month,,3,1.0354
month,,4,0.9657
month,,5,0.9558
month,,6,0.9657
month,,7,0.9358
month,,8,0.896
month,,9,0.9956
month,,10,1.0155
month,,11,1.0454
month,,12,1.0155
