,line_id,bus0,bus1,voltage,circuits,length,tags
277,way/96001615-110,way/273300969-110,way/95975628-110,110.0,1,14471.52,way/96001615-110
3134,way/48442852-110,way/93982415-110,way/92320586-110,110.0,2,25407.95,way/48442852-110
24336,way/36969924-110,way/26703085-110,way/1075075893-110,110.0,2,11656.02,way/36969924-110
24337,way/61112955-110,way/92293213-110,AT70-110,110.0,2,13432.35,way/61112955-110
24338,way/92299558-110,DE1342-110,way/94406313-110,110.0,2,5638.39,way/92299558-110
24339,way/93129480-110,way/81540198-110,way/133669362-110,110.0,1,8266.06,way/93129480-110
24340,way/94177573-110,AT70-110,DE1342-110,110.0,4,3717.27,way/94177573-110
24341,way/105180509-110,AT64-110,way/33463751-110,110.0,2,2559.07,way/105180509-110
24342,way/114873667-110,way/116021711-110,way/86351876-110,110.0,2,2471.58,way/114873667-110
24344,way/123810051-110,way/95972388-110,way/95978048-110,110.0,1,7178.79,way/123810051-110
24346,way/353715115-110,way/24886281-110,way/118248006-110,110.0,2,11323.29,way/353715115-110
24410,way/169471085-110,way/116021711-110,way/114873634-110,110.0,1,10540.05,way/169471085-110
24412,way/368155120-110,way/50729129-110,way/888593883-110,110.0,1,4880.52,way/368155120-110
36618,merged_way/32493449-110+1,way/32493406-110,DE1299-110,110.0,2,26385.09,way/30023326-110;way/32493449-110
36664,merged_way/93129482-110+1,way/81540198-110,way/133669362-110,110.0,2,13629.12,way/105431204-2-110;way/93129482-110
36668,merged_way/169635581-110+1,way/40641599-110,DE1347-110,110.0,1,12885.46,way/169635581-110;way/116009750-110
36677,merged_way/147059434-110+1,way/42352281-110,way/1155210065-110,110.0,1,10679.7,way/147059434-110;way/996088216-110
36678,merged_way/30712473-110+1,way/194983924-110,way/1154201243-110,110.0,2,39639.92,way/30712473-110;way/147563006-110
